,EUI,Score
0,115.1,20
1,102.3,9
2,97.2,57
3,105.2,50
4,74.6,78
5,88.9,43
6,126.9,5
7,94.4,48
8,117.2,9
9,56.6,74
10,73.8,98
11,49.9,93
12,79.6,81
13,122.0,67
14,134.8,6
15,75.8,95
16,93.6,84
17,111.6,47
18,81.9,13
19,119.9,4
20,97.9,55
21,64.4,20
22,32.2,100
23,100.5,21
24,98.8,40
25,88.2,69
26,123.0,8
27,146.9,2
28,124.3,21
29,112.0,36
30,151.1,80
31,82.8,86
32,133.4,9
33,90.2,65
34,135.5,14
35,142.1,12
36,53.4,65
37,111.8,39
38,83.6,66
39,84.1,76
40,86.9,59
41,108.8,27
42,65.2,94
43,56.7,95
44,89.9,57
45,110.3,66
46,99.3,77
47,126.9,5
48,44.2,56
49,137.7,28
50,112.1,53
51,107.8,58
52,77.0,79
53,144.3,3
54,134.6,3
55,67.5,85
56,83.2,54
57,95.1,69
58,89.9,27
59,108.7,8
60,99.5,23
61,123.4,11
62,98.2,54
63,153.6,1
64,119.8,1
65,25.2,100
66,53.6,88
67,84.7,39
68,62.3,45
69,85.3,1
70,72.3,94
71,45.7,100
72,99.1,29
73,78.1,38
74,34.4,98
75,69.1,79
76,69.8,43
77,99.3,19
78,59.1,94
79,68.3,74
80,79.7,30
81,148.9,1
82,99.6,49
83,35.0,91
84,71.4,17
85,154.6,2
86,134.5,10
87,96.8,25
88,77.8,4
89,65.4,78
90,76.3,77
91,80.8,53
92,124.9,7
93,78.6,23
94,62.4,75
95,83.6,50
96,80.7,73
97,65.6,75
98,56.2,95
99,64.2,83
100,53.1,68
101,80.7,58
102,76.4,62
103,50.1,90
104,65.4,79
105,81.8,46
106,73.5,50
107,140.9,1
108,68.8,75
109,77.7,95
110,99.4,56
111,82.1,84
112,45.7,81
113,85.3,72
114,96.2,58
115,90.3,78
116,82.5,78
117,91.6,9
118,88.0,70
119,99.5,46
120,108.8,31
121,65.6,53
122,69.5,84
123,81.4,63
124,55.9,94
125,69.9,92
126,83.8,52
127,81.5,87
128,88.3,95
129,82.6,64
130,70.7,81
131,91.2,27
132,88.4,67
133,83.4,60
134,84.0,69
135,108.4,61
136,114.6,45
137,96.8,58
138,88.7,57
139,111.8,26
140,70.3,78
141,77.7,97
142,79.3,80
